State,County,inc2013,inc2014,inc2015,stateRank,pctChg2014,pctChg2015,stateRankChg
AR,Clark,28975.00,30248.00,31021.00,47,4.4,2.6,18
AR,Clay,36027.00,33316.00,32938.00,29,-7.5,-1.1,61
AR,Cleburne,31865.00,33011.00,33379.00,27,3.6,1.1,45
AR,Cleveland,32222.00,34861.00,34987.00,13,8.2,0.4,52
AR,Columbia,31747.00,33435.00,33601.00,24,5.3,0.5,50
AR,Conway,34000.00,36744.00,37053.00,9,8.1,0.8,46
AR,Craighead,33131.00,33899.00,34628.00,15,2.3,2.2,28
AR,Crawford,28529.00,29340.00,29917.00,56,2.8,2,29
AR,Crittenden,33199.00,33384.00,34148.00,21,0.6,2.3,26
AR,Cross,35336.00,34994.00,34349.00,18,-1,-1.8,72
AR,Dallas,27442.00,28686.00,30068.00,54,4.5,4.8,2
AR,Desha,39200.00,37731.00,37417.00,6,-3.7,-0.8,59
AR,Drew,34289.00,34620.00,35039.00,12,1,1.2,41
AR,Faulkner,32514.00,33445.00,34235.00,20,2.9,2.4,23
AR,Franklin,27365.00,29777.00,29961.00,55,8.8,0.6,48
AR,Fulton,24146.00,25739.00,26116.00,72,6.6,1.5,35
AR,Garland,34738.00,36114.00,37090.00,8,4,2.7,15
AR,Grant,32282.00,33375.00,34323.00,19,3.4,2.8,11
AR,Greene,30985.00,31042.00,31588.00,42,0.2,1.8,31
AR,Hempstead,27911.00,29758.00,29591.00,59,6.6,-0.6,58
AR,Hot Spring,27250.00,28429.00,29226.00,61,4.3,2.8,13
AR,Howard,29318.00,31732.00,31230.00,45,8.2,-1.6,68
AR,Independence,31032.00,31743.00,32542.00,33,2.3,2.5,19
AR,Izard,27589.00,28338.00,28971.00,62,2.7,2.2,27
AR,Jackson,32535.00,33898.00,34387.00,17,4.2,1.4,36
AR,Jefferson,31285.00,31609.00,32189.00,37,1,1.8,30
AR,Johnson,24814.00,26108.00,26218.00,70,5.2,0.4,51
AR,Lafayette,31774.00,33607.00,33437.00,26,5.8,-0.5,56
AR,Lawrence,29521.00,29976.00,30390.00,52,1.5,1.4,39
AR,Lee,30778.00,26366.00,25940.00,74,-14.3,-1.6,70
AR,Lincoln,25777.00,25355.00,25003.00,75,-1.6,-1.4,65
AR,Little River,30352.00,31890.00,32686.00,30,5.1,2.5,20
AR,Logan,31512.00,34486.00,34032.00,22,9.4,-1.3,63
AR,Lonoke,34753.00,34916.00,35413.00,10,0.5,1.4,37
AR,Madison,29009.00,31642.00,31356.00,43,9.1,-0.9,60
AR,Marion,26541.00,27402.00,28695.00,65,3.2,4.7,3
AR,Miller,29206.00,30255.00,31350.00,44,3.6,3.6,6
AR,Mississippi,31803.00,32248.00,31150.00,46,1.4,-3.4,75
AR,Monroe,34450.00,34418.00,34618.00,16,-0.1,0.6,49
AR,Montgomery,26160.00,27263.00,27684.00,66,4.2,1.5,34
AR,Nevada,30841.00,31567.00,32548.00,32,2.4,3.1,10
AR,Newton,24632.00,26266.00,26583.00,69,6.6,1.2,42
AR,Ouachita,31643.00,32423.00,33525.00,25,2.5,3.4,7
AR,Perry,30443.00,31058.00,31935.00,40,2,2.8,12
AR,Phillips,32238.00,32276.00,31720.00,41,0.1,-1.7,71
AR,Pike,27517.00,29480.00,29898.00,57,7.1,1.4,38
AR,Poinsett,31109.00,30116.00,29719.00,58,-3.2,-1.3,64
AR,Polk,26802.00,28929.00,28776.00,64,7.9,-0.5,57
AR,Pope,31040.00,31939.00,32684.00,31,2.9,2.3,24
AR,Prairie,34258.00,33885.00,33346.00,28,-1.1,-1.6,69
AR,Pulaski,43231.00,44657.00,45862.00,2,3.3,2.7,16
AR,Randolph,29030.00,30150.00,29256.00,60,3.9,-3,74
AR,St. Francis,26164.00,25191.00,26176.00,71,-3.7,3.9,5
AR,Saline,35533.00,36486.00,37360.00,7,2.7,2.4,22
AR,Scott,26736.00,28609.00,28790.00,63,7,0.6,47
AR,Searcy,26096.00,27164.00,27524.00,67,4.1,1.3,40
AR,Sebastian,36020.00,37393.00,37983.00,5,3.8,1.6,33
AR,Sevier,24405.00,26391.00,26058.00,73,8.1,-1.3,62
AR,Sharp,28348.00,30453.00,30957.00,48,7.4,1.7,32
AR,Stone,25377.00,27193.00,27516.00,68,7.2,1.2,43
AR,Union,44001.00,44854.00,44151.00,3,1.9,-1.6,67
AR,Van Buren,27744.00,29495.00,30219.00,53,6.3,2.5,21
AR,Washington,32457.00,34081.00,35205.00,11,5,3.3,9
AR,White,30777.00,31567.00,32398.00,35,2.6,2.6,17
AR,Woodruff,33982.00,32754.00,33858.00,23,-3.6,3.4,8
